	1	2	3	4	5	6	7	8	9	10	11	12
A	BY-Z3EV-gnT-1000-1	BY-Z3EV-gnT-500-1	BY-Z3EV-gnT-250-1	BY-Z3EV-gnT-125-1	BY-Z3EV-gnT-62.5-1	BY-Z3EV-gnT-31-1	BY-Z3EV-gnT-15.5-1	BY-Z3EV-gnT-8-1	BY-Z3EV-gnT-4-1	BY-Z3EV-gnT-2-1	BY-Z3EV-gnT-1-1	BY-Z3EV-gnT-0-1
B	BY-Z3EV-gwT-1000-1	BY-Z3EV-gwT-500-1	BY-Z3EV-gwT-250-1	BY-Z3EV-gwT-125-1	BY-Z3EV-gwT-62.5-1	BY-Z3EV-gwT-31-1	BY-Z3EV-gwT-15.5-1	BY-Z3EV-gwT-8-1	BY-Z3EV-gwT-4-1	BY-Z3EV-gwT-2-1	BY-Z3EV-gwT-1-1	BY-Z3EV-gwT-0-1
C	RM-Z3EV-gnT-1000-1	RM-Z3EV-gnT-500-1	RM-Z3EV-gnT-250-1	RM-Z3EV-gnT-125-1	RM-Z3EV-gnT-62.5-1	RM-Z3EV-gnT-31-1	RM-Z3EV-gnT-15.5-1	RM-Z3EV-gnT-8-1	RM-Z3EV-gnT-4-1	RM-Z3EV-gnT-2-1	RM-Z3EV-gnT-1-1	RM-Z3EV-gnT-0-1
D	RM-Z3EV-gwT-1000-1	RM-Z3EV-gwT-500-1	RM-Z3EV-gwT-250-1	RM-Z3EV-gwT-125-1	RM-Z3EV-gwT-62.5-1	RM-Z3EV-gwT-31-1	RM-Z3EV-gwT-15.5-1	RM-Z3EV-gwT-8-1	RM-Z3EV-gwT-4-1	RM-Z3EV-gwT-2-1	RM-Z3EV-gwT-1-1	RM-Z3EV-gwT-0-1
E	Blanc	Blanc	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
F	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
G	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
H	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
