orf	gene	crispr	rep	tech	gate	seqnum	cover	date
YGR192C	TDH3	i	0	1	7	C18	10	180529
YGR192C	TDH3	i	0	1	8	C19	14	180529
YGR192C	TDH3	i	0	1	9	C20	8	180529
YKL035W	UGP1	a	0	1	10	C54	11	180529
YKL035W	UGP1	a	0	1	11	C55	4	180529
YKL035W	UGP1	a	0	1	1	C45	10	180529
YKL035W	UGP1	a	0	1	2	C46	8	180529
YKL035W	UGP1	a	0	1	3	C47	9	180529
YKL035W	UGP1	a	0	1	4	C48	9	180529
YKL035W	UGP1	a	0	1	5	C49	10	180529
YKL035W	UGP1	a	0	1	6	C50	11	180529
YKL035W	UGP1	a	0	1	7	C51	8	180529
YKL035W	UGP1	a	0	1	8	C52	8	180529
YKL035W	UGP1	a	0	1	9	C53	9	180529
YKL035W	UGP1	aF	0	1	1	C67	24	180529
YKL035W	UGP1	aF	0	1	2	C68	21	180529
YKL035W	UGP1	aF	0	1	3	C69	5	180529
YKL035W	UGP1	aF	0	1	4	C70	11	180529
YKL035W	UGP1	aF	0	1	5	C71	22	180529
YKL035W	UGP1	i	0	1	10	C65	8	180529
YKL035W	UGP1	i	0	1	11	C66	6	180529
YKL035W	UGP1	i	0	1	1	C56	11	180529
YKL035W	UGP1	i	0	1	2	C57	11	180529
YKL035W	UGP1	i	0	1	3	C58	8	180529
YKL035W	UGP1	i	0	1	4	C59	4	180529
YKL035W	UGP1	i	0	1	5	C60	13	180529
YKL035W	UGP1	i	0	1	6	C61	16	180529
YKL035W	UGP1	i	0	1	7	C62	7	180529
YKL035W	UGP1	i	0	1	8	C63	9	180529
YKL035W	UGP1	i	0	1	9	C64	9	180529
YGL202W	ARO8	a	1	1	1	C37	12	190201
YGL202W	ARO8	a	1	1	2	C38	12	190201
YGL202W	ARO8	a	1	1	3	C39	12	190201
YGL202W	ARO8	a	1	1	4	C40	13	190201
YGL202W	ARO8	a	1	1	5	C41	12	190201
YDR099W	BMH2	a	1	1	1	C01	19	190201
YDR099W	BMH2	a	1	1	20	C06	20	190201
YDR099W	BMH2	a	1	1	21	C07	19	190201
YDR099W	BMH2	a	1	1	2	C02	19	190201
YDR099W	BMH2	a	1	1	3	C03	20	190201
YDR099W	BMH2	a	1	1	4	C04	22	190201
YDR099W	BMH2	a	1	1	5	C05	19	190201
YLR286C	CTS1	a	1	1	1	C57	12	190201
YLR286C	CTS1	a	1	1	2	C58	15	190201
YLR286C	CTS1	a	1	1	3	C59	17	190201
YLR286C	CTS1	a	1	1	4	C60	17	190201
YLR286C	CTS1	a	1	1	5	C61	19	190201
YLR286C	CTS1	a	2	1	1	C23	20	190201
YLR286C	CTS1	a	2	1	20	C28	18	190201
YLR286C	CTS1	a	2	1	21	C29	10	190201
YLR286C	CTS1	a	2	1	2	C24	18	190201
YLR286C	CTS1	a	2	1	3	C25	16	190201
YLR286C	CTS1	a	2	1	4	C26	19	190201
YLR286C	CTS1	a	2	1	5	C27	16	190201
YJR048W	CYC1	a	1	1	1	C47	13	190201
YJR048W	CYC1	a	1	1	2	C48	12	190201
YJR048W	CYC1	a	1	1	3	C49	14	190201
YJR048W	CYC1	a	1	1	4	C50	12	190201
YJR048W	CYC1	a	1	1	5	C51	16	190201
YJR048W	CYC1	a	2	1	1	C13	19	190201
YJR048W	CYC1	a	2	1	2	C14	18	190201
YJR048W	CYC1	a	2	1	3	C15	15	190201
YJR048W	CYC1	a	2	1	4	C16	18	190201
YJR048W	CYC1	a	2	1	5	C17	10	190201
YDL022W	GPD1	a	1	1	1	C01	13	190201
YDL022W	GPD1	a	1	1	2	C02	12	190201
YDL022W	GPD1	a	1	1	3	C03	13	190201
YDL022W	GPD1	a	1	1	4	C04	12	190201
YDL022W	GPD1	a	1	1	5	C05	11	190201
YDL022W	GPD1	a	1	2	1	C06	11	190201
YDL022W	GPD1	a	1	2	2	C07	13	190201
YDL022W	GPD1	a	1	2	3	C08	14	190201
YDL022W	GPD1	a	1	2	4	C09	14	190201
YDL022W	GPD1	a	1	2	5	C10	13	190201
YDL022W	GPD1	a	2	1	1	C11	12	190201
YDL022W	GPD1	a	2	1	2	C12	12	190201
YDL022W	GPD1	a	2	1	3	C13	13	190201
YDL022W	GPD1	a	2	1	4	C14	14	190201
YDL022W	GPD1	a	2	1	5	C15	13	190201
YDL022W	GPD1	a	3	1	1	C16	15	190201
YDL022W	GPD1	a	3	1	2	C18	11	190201
YDL022W	GPD1	a	3	1	3	C19	11	190201
YDL022W	GPD1	a	3	1	4	C20	12	190201
YDL022W	GPD1	a	3	1	5	C21	13	190201
YDL022W	GPD1	a	3	2	1	C17	13	190201
YDL022W	GPD1	a	4	1	1	C22	13	190201
YDL022W	GPD1	a	4	1	2	C23	12	190201
YDL022W	GPD1	a	4	1	3	C24	14	190201
YDL022W	GPD1	a	4	1	4	C25	12	190201
YDL022W	GPD1	a	4	1	5	C26	12	190201
YKR080W	MTD1	a	1	1	1	C27	13	190201
YKR080W	MTD1	a	1	1	2	C28	13	190201
YKR080W	MTD1	a	1	1	3	C29	9	190201
YKR080W	MTD1	a	1	1	4	C30	15	190201
YKR080W	MTD1	a	1	1	5	C31	13	190201
YGL055W	OLE1	a	1	1	1	C42	12	190201
YGL055W	OLE1	a	1	1	2	C43	14	190201
YGL055W	OLE1	a	1	1	3	C44	13	190201
YGL055W	OLE1	a	1	1	4	C45	12	190201
YGL055W	OLE1	a	1	1	5	C46	13	190201
YGL055W	OLE1	a	2	1	1	C08	19	190201
YGL055W	OLE1	a	2	1	2	C09	10	190201
YGL055W	OLE1	a	2	1	3	C10	17	190201
YGL055W	OLE1	a	2	1	4	C11	18	190201
YGL055W	OLE1	a	2	1	5	C12	17	190201
YOR293W	RPS10A	a	1	1	1	C62	17	190201
YOR293W	RPS10A	a	1	1	2	C63	16	190201
YOR293W	RPS10A	a	1	1	3	C64	18	190201
YOR293W	RPS10A	a	1	1	4	C65	4	190201
YOR293W	RPS10A	a	1	1	5	C66	16	190201
YOR293W	RPS10A	a	2	1	1	C30	20	190201
YOR293W	RPS10A	a	2	1	2	C31	19	190201
YOR293W	RPS10A	a	2	1	3	C32	18	190201
YOR293W	RPS10A	a	2	1	4	C33	13	190201
