	1	2	3	4	5	6	7	8	9	10	11	12
A	BY-GPD1_GFP_gr-YAK1WT-2-1	BY-GPD1_GFP_gr-YAK1WT-1.8-1	BY-GPD1_GFP_gr-YAK1WT-1.6-1	BY-GPD1_GFP_gr-YAK1WT-1.4-1	BY-GPD1_GFP_gr-YAK1WT-1.2-1	BY-GPD1_GFP_gr-YAK1WT-1-1	BY-GPD1_GFP_gr-YAK1WT-0.8-1	BY-GPD1_GFP_gr-YAK1WT-0.6-1	BY-GPD1_GFP_gr-YAK1WT-0.4-1	BY-GPD1_GFP_gr-YAK1WT-0.2-1	BY-GPD1_GFP_gr-YAK1WT-0-1	Blanc-GPD1_GFP_gr-YAK1WT--1
B	BY-GPD1_GFP_gr-YAK1WT-2-2	BY-GPD1_GFP_gr-YAK1WT-1.8-2	BY-GPD1_GFP_gr-YAK1WT-1.6-2	BY-GPD1_GFP_gr-YAK1WT-1.4-2	BY-GPD1_GFP_gr-YAK1WT-1.2-2	BY-GPD1_GFP_gr-YAK1WT-1-2	BY-GPD1_GFP_gr-YAK1WT-0.8-2	BY-GPD1_GFP_gr-YAK1WT-0.6-2	BY-GPD1_GFP_gr-YAK1WT-0.4-2	BY-GPD1_GFP_gr-YAK1WT-0.2-2	BY-GPD1_GFP_gr-YAK1WT-0-2	Blanc-GPD1_GFP_gr-YAK1WT--2
C	BY-GPD1_GFP_gr-YAK1delta-2-1	BY-GPD1_GFP_gr-YAK1delta-1.8-1	BY-GPD1_GFP_gr-YAK1delta-1.6-1	BY-GPD1_GFP_gr-YAK1delta-1.4-1	BY-GPD1_GFP_gr-YAK1delta-1.2-1	BY-GPD1_GFP_gr-YAK1delta-1-1	BY-GPD1_GFP_gr-YAK1delta-0.8-1	BY-GPD1_GFP_gr-YAK1delta-0.6-1	BY-GPD1_GFP_gr-YAK1delta-0.4-1	BY-GPD1_GFP_gr-YAK1delta-0.2-1	BY-GPD1_GFP_gr-YAK1delta-0-1	Blanc-GPD1_GFP_gr-YAK1delta--1
D	BY-GPD1_GFP_gr-YAK1delta-2-2	BY-GPD1_GFP_gr-YAK1delta-1.8-2	BY-GPD1_GFP_gr-YAK1delta-1.6-2	BY-GPD1_GFP_gr-YAK1delta-1.4-2	BY-GPD1_GFP_gr-YAK1delta-1.2-2	BY-GPD1_GFP_gr-YAK1delta-1-2	BY-GPD1_GFP_gr-YAK1delta-0.8-2	BY-GPD1_GFP_gr-YAK1delta-0.6-2	BY-GPD1_GFP_gr-YAK1delta-0.4-2	BY-GPD1_GFP_gr-YAK1delta-0.2-2	BY-GPD1_GFP_gr-YAK1delta-0-2	Blanc-GPD1_GFP_gr-YAK1delta--2
E	BY-NA-YAK1WT-2-1	BY-NA-YAK1WT-1.8-1	BY-NA-YAK1WT-1.6-1	BY-NA-YAK1WT-1.4-1	BY-NA-YAK1WT-1.2-1	BY-NA-YAK1WT-1-1	BY-NA-YAK1WT-0.8-1	BY-NA-YAK1WT-0.6-1	BY-NA-YAK1WT-0.4-1	BY-NA-YAK1WT-0.2-1	BY-NA-YAK1WT-0-1	Blanc-NA-YAK1WT--1
F	BY-NA-YAK1WT-2-2	BY-NA-YAK1WT-1.8-2	BY-NA-YAK1WT-1.6-2	BY-NA-YAK1WT-1.4-2	BY-NA-YAK1WT-1.2-2	BY-NA-YAK1WT-1-2	BY-NA-YAK1WT-0.8-2	BY-NA-YAK1WT-0.6-2	BY-NA-YAK1WT-0.4-2	BY-NA-YAK1WT-0.2-2	BY-NA-YAK1WT-0-2	Blanc-NA-YAK1WT--2
G	BY-NA-YAK1var-2-1	BY-NA-YAK1var-1.8-1	BY-NA-YAK1var-1.6-1	BY-NA-YAK1var-1.4-1	BY-NA-YAK1var-1.2-1	BY-NA-YAK1var-1-1	BY-NA-YAK1var-0.8-1	BY-NA-YAK1var-0.6-1	BY-NA-YAK1var-0.4-1	BY-NA-YAK1var-0.2-1	BY-NA-YAK1var-0-1	Blanc-NA-YAK1var--1
H	BY-NA-YAK1var-2-2	BY-NA-YAK1var-1.8-2	BY-NA-YAK1var-1.6-2	BY-NA-YAK1var-1.4-2	BY-NA-YAK1var-1.2-2	BY-NA-YAK1var-1-2	BY-NA-YAK1var-0.8-2	BY-NA-YAK1var-0.6-2	BY-NA-YAK1var-0.4-2	BY-NA-YAK1var-0.2-2	BY-NA-YAK1var-0-2	Blanc-NA-YAK1var--2
