ref1	ref2	conca	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low
BMH2_a_0_1_3	BMH2_a_1_1_3	BMH2_a_0_1_3 BMH2_a_1_1_3	14	102900	3.95	28700	182300	-0.0747544301163189
BMH2_a_0_1_3	BMH2_a_1_1_3	BMH2_a_0_1_3 BMH2_a_1_1_3	14	472900	5.44	425500	561700	0.0874393585171986
BMH2_a_0_1_4	BMH2_a_1_1_4	BMH2_a_0_1_4 BMH2_a_1_1_4	2	441400	4.08	265800	538400	0.0804364629636071
BMH2_a_0_1_4	BMH2_a_1_1_4	BMH2_a_0_1_4 BMH2_a_1_1_4	3	144500	3.2	76400	191300	-0.0522634212058881
BMH2_a_0_1_4	BMH2_a_1_1_4	BMH2_a_0_1_4 BMH2_a_1_1_4	4	70500	3.29	0	180500	0.0566248884500894
BMH2_a_0_1_4	BMH2_a_1_1_4	BMH2_a_0_1_4 BMH2_a_1_1_4	5	476800	3.36	411100	566500	0.0523779680773367
BMH2_a_0_1_4	BMH2_a_1_1_4	BMH2_a_0_1_4 BMH2_a_1_1_4	10	661300	5.86	615400	741700	-0.0812909147561834
BMH2_a_0_1_4	BMH2_a_1_1_4	BMH2_a_0_1_4 BMH2_a_1_1_4	11	392000	18.07	325400	418400	0.170614498363269
BMH2_a_0_1_4	BMH2_a_1_1_4	BMH2_a_0_1_4 BMH2_a_1_1_4	13	148200	3.06	39400	292500	-0.07259987840989
BMH2_a_0_1_4	BMH2_a_1_1_4	BMH2_a_0_1_4 BMH2_a_1_1_4	14	493300	3.44	399400	577900	0.0731678400109421
BMH2_a_0_1_4	BMH2_a_1_1_4	BMH2_a_0_1_4 BMH2_a_1_1_4	15	367400	3.95	269800	459000	0.0464847860365281
BMH2_a_0_1_5	BMH2_a_1_1_5	BMH2_a_0_1_5 BMH2_a_1_1_5	2	542900	3.05	319900	707800	0.0851575904794219
BMH2_a_0_1_5	BMH2_a_1_1_5	BMH2_a_0_1_5 BMH2_a_1_1_5	10	155200	3.35	103700	286100	0.0905908399604612
BMH2_a_0_1_5	BMH2_a_1_1_5	BMH2_a_0_1_5 BMH2_a_1_1_5	10	655100	6.75	599300	741700	-0.106245947863845
BMH2_a_0_1_5	BMH2_a_1_1_5	BMH2_a_0_1_5 BMH2_a_1_1_5	11	341700	3.79	272700	409000	0.0860039962567071
BMH2_a_0_1_5	BMH2_a_1_1_5	BMH2_a_0_1_5 BMH2_a_1_1_5	12	672600	23.6	649800	694200	-0.199691231561424
BMH2_a_0_1_5	BMH2_a_1_1_5	BMH2_a_0_1_5 BMH2_a_1_1_5	13	59900	3.42	0	123500	-0.0775457832995127
BMH2_a_0_1_5	BMH2_a_1_1_5	BMH2_a_0_1_5 BMH2_a_1_1_5	13	878900	4.71	782700	922700	0.0910575668585013
BMH2_a_0_1_5	BMH2_a_1_1_5	BMH2_a_0_1_5 BMH2_a_1_1_5	14	473200	4.62	427700	638700	0.0940783648005033
BMH2_a_0_1_5	BMH2_a_1_1_5	BMH2_a_0_1_5 BMH2_a_1_1_5	15	581300	7.2	551400	605600	0.115483267377575
GPD1_a_0_1_1	GPD1_a_1_1_1	GPD1_a_0_1_1 GPD1_a_1_1_1	4	73200	2.86	0	133800	0.0644939868405471
GPD1_a_0_1_1	GPD1_a_1_1_1	GPD1_a_0_1_1 GPD1_a_1_1_1	5	518800	3.69	471200	566500	0.0769547864746611
GPD1_a_0_1_1	GPD1_a_1_1_1	GPD1_a_0_1_1 GPD1_a_1_1_1	10	132900	3.15	46000	300900	-0.0757367746632487
GPD1_a_0_1_1	GPD1_a_1_1_1	GPD1_a_0_1_1 GPD1_a_1_1_1	10	574300	3.58	529800	741700	-0.0823554593720212
GPD1_a_0_1_1	GPD1_a_1_1_1	GPD1_a_0_1_1 GPD1_a_1_1_1	12	728000	13.01	660600	780400	-0.13148331760992
GPD1_a_0_1_1	GPD1_a_1_1_1	GPD1_a_0_1_1 GPD1_a_1_1_1	15	596400	2.84	412600	682900	-0.0796508481695464
GPD1_a_0_1_1	GPD1_a_1_2_1	GPD1_a_0_1_1 GPD1_a_1_2_1	2	524300	2.87	426800	661900	0.0626602434961462
GPD1_a_0_1_1	GPD1_a_1_2_1	GPD1_a_0_1_1 GPD1_a_1_2_1	5	548100	3.25	465300	566500	0.0628208759199045
GPD1_a_0_1_1	GPD1_a_1_2_1	GPD1_a_0_1_1 GPD1_a_1_2_1	8	131800	3.28	24800	188000	0.0618402778863946
GPD1_a_0_1_1	GPD1_a_1_2_1	GPD1_a_0_1_1 GPD1_a_1_2_1	10	675400	5.79	604700	741700	-0.0995750489822634
GPD1_a_0_1_1	GPD1_a_1_2_1	GPD1_a_0_1_1 GPD1_a_1_2_1	12	725200	9.53	634400	777300	-0.116543828696358
GPD1_a_0_1_1	GPD1_a_2_1_1	GPD1_a_0_1_1 GPD1_a_2_1_1	2	551500	2.82	422400	720400	0.0628900125028243
GPD1_a_0_1_1	GPD1_a_2_1_1	GPD1_a_0_1_1 GPD1_a_2_1_1	5	521300	5.46	487900	566500	0.0833991456204033
GPD1_a_0_1_1	GPD1_a_2_1_1	GPD1_a_0_1_1 GPD1_a_2_1_1	8	85400	2.94	25800	197600	0.0601579678128477
GPD1_a_0_1_1	GPD1_a_2_1_1	GPD1_a_0_1_1 GPD1_a_2_1_1	8	433700	3.08	368500	554900	0.0408165014651353
