orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YDR099W	BMH2	5	2	gfp	5.43	-0.0876056973949725	425800	320400	497550	0.8225	-0.026911077199663	425800	320400	497550
YDR099W	BMH2	7	2	gfp	4.9925	0.102641748481628	380900	321800	438550	1.54	0.0385420824282893	380900	321800	438550
YDR099W	BMH2	8	1	mch	0.41	0.0071782959572986	85200	49600	212300	3.855	-0.0792668244486913	85200	49600	212300
YDR099W	BMH2	10	2	gfp	22.2375	-0.19505235047208	171900	142600	213050	0.98	0.0352065192569561	171900	142600	213050
YDR099W	BMH2	10	2	gfp	3.7775	0.0847379755409108	643700	557900	721200	1.5975	-0.0452108034331373	643700	557900	721200
YDR099W	BMH2	11	2	gfp	60.4775	-0.308175867121632	305150	280650	324550	0.0175	0.00382174267534788	305150	280650	324550
YDR099W	BMH2	12	1	mch	2.265	-0.0272230729621962	684400	650300	756100	4.365	-0.0730602710747478	684400	650300	756100
YDR099W	BMH2	13	2	mch	1.575	0.0397605185570387	64800	0	115800	3.5575	-0.0760412544059547	64800	0	115800
YDR099W	BMH2	13	2	gfp	9.8825	0.130082127576784	339650	206850	381250	1.56	0.0342942546171288	339650	206850	381250
YDR099W	BMH2	14	2	gfp	10.0325	-0.123974896803257	225850	166000	260600	0.1625	-0.0089667607842244	225850	166000	260600
YDR099W	BMH2	14	2	mch	1.7825	0.0568318255770762	469200	452250	483250	55.9475	0.315885739560851	469200	452250	483250
YDR099W	BMH2	15	2	gfp	8.285	-0.108764523030065	187800	141950	213550	0.5375	-0.00854855736367	187800	141950	213550
YDR099W	BMH2	15	1	oposite	7.09	-0.0850607357508295	564700	547500	587100	4.51	0.0712414133284644	545900	500800	582000
YGL055W	OLE1	1	2	gfp	32.6275	-0.285835835568403	43500	0	56150	1.4925	-0.0468191541139484	43500	0	56150
YGL055W	OLE1	10	1	gfp	3.49	0.0650795235006076	700200	641900	741700	0.14	0.0178652381611903	700200	641900	741700
YGL055W	OLE1	11	1	together	15.5	-0.127433262863985	325400	299800	350100	4.395	-0.0674490094099422	442800	346600	465000
YGL055W	OLE1	11	1	gfp	16.285	-0.1676280133192	411000	390500	434200	3.565	-0.076102858382889	411000	390500	434200
YGL055W	OLE1	12	2	together	67.9725	-0.315607793428334	655100	636350	682250	16.4	-0.177587083427995	681850	654550	711200
YGL055W	OLE1	13	2	oposite	4.8175	0.0904799334868153	62600	0	110050	3.26	-0.066674169395187	47300	0	87100
YGL055W	OLE1	13	2	gfp	4.22	-0.0703543149411031	389650	344900	466750	0.71	0.0133222123767595	389650	344900	466750
YGL055W	OLE1	14	2	mch	0.2875	-0.0097700533390221	465450	445950	490550	25.3425	0.205207101346794	465450	445950	490550
YGL055W	OLE1	15	2	gfp	5.8275	-0.0874340043803269	571950	516150	646950	1.585	0.0350796575418952	571950	516150	646950
YGL202W	ARO8	1	2	gfp	4.84	-0.102940415047245	143400	95800	207800	0.2025	0.0105542532340889	143400	95800	207800
YGL202W	ARO8	2	1	together	7.93	0.113296939819358	134800	114500	154500	6.345	0.106527181071754	117250	59150	162150
YGL202W	ARO8	2	2	mch	0.1675	0.00466987587796429	614800	531200	675550	5.5625	-0.0918014046669312	614800	531200	675550
YGL202W	ARO8	4	1	together	3.88	-0.0784216395089998	171200	140400	215700	3.58	-0.0616584106321726	96100	0	190000
YGL202W	ARO8	4	1	gfp	4.62	0.0805602268611071	614900	474800	722700	0.18	0.00322772800264826	614900	474800	722700
YGL202W	ARO8	4	1	gfp	5.135	0.0894682709006207	691900	634800	763800	0.16	-0.00764163829639347	691900	634800	763800
YGL202W	ARO8	4	1	gfp	3.62	0.0542601659667072	998800	945800	1055300	0.905	0.0161513483497429	998800	945800	1055300
YGL202W	ARO8	5	2	gfp	8.6325	-0.113173625874381	385000	342950	446250	1.8725	-0.0542268079041232	385000	342950	446250
