	1	2	3	4	5	6	7	8	9	10	11	12
A	BY-GPD1-FM10a-BY-1	BY-GPD1-FM10b-BY-1	BY-GPD1-FM10c-BY-1	BY-GPD1-FM10d-BY-1	BY-GPD1-FM10a-RM-1	BY-GPD1-FM10b-RM-1	BY-GPD1-FM10c-RM-1	BY-GPD1-FM10d-RM-1	BY-GPD1-MKT1-BY-1	BY-GPD1-MKT1-RM-1	BY-GPD1-NA-NA-1	BY-GPD1-NA-NA-2
B	BY-GPD1-FM10a-BY-2	BY-GPD1-FM10b-BY-2	BY-GPD1-FM10c-BY-2	BY-GPD1-FM10d-BY-2	BY-GPD1-FM10a-RM-2	BY-GPD1-FM10b-RM-2	BY-GPD1-FM10c-RM-2	BY-GPD1-FM10d-RM-2	BY-GPD1-MKT1-BY-2	BY-GPD1-MKT1-RM-2	BY-GPD1-2-d-1	BY-GPD1-2-d-2
C	BY-GPD1-FM10a-BY-3	BY-GPD1-FM10b-BY-3	BY-GPD1-FM10c-BY-3	BY-GPD1-FM10d-BY-3	BY-GPD1-FM10a-RM-3	BY-GPD1-FM10b-RM-3	BY-GPD1-FM10c-RM-3	BY-GPD1-FM10d-RM-3	BY-GPD1-MKT1-BY-3	BY-GPD1-MKT1-RM-3	BY-GPD1-4-d-1	BY-GPD1-4-d-2
D	BY-GPD1-FM10a-BY-4	BY-GPD1-FM10b-BY-4	BY-GPD1-FM10c-BY-4	BY-GPD1-FM10d-BY-4	BY-GPD1-FM10a-RM-4	BY-GPD1-FM10b-RM-4	BY-GPD1-FM10c-RM-4	BY-GPD1-FM10d-RM-4	BY-GPD1-MKT1-BY-4	BY-GPD1-MKT1-RM-4	BY-GPD1-FM10a-d-1	BY-GPD1-FM10a-d-2
E	BY-GPD1-FM10a-BY-5	BY-GPD1-FM10b-BY-5	BY-GPD1-FM10c-BY-5	BY-GPD1-FM10d-BY-5	BY-GPD1-FM10a-RM-5	BY-GPD1-FM10b-RM-5	BY-GPD1-FM10c-RM-5	BY-GPD1-FM10d-RM-5	BY-GPD1-MKT1-BY-5	BY-GPD1-MKT1-RM-5	BY-GPD1-FM10b-d-1	BY-GPD1-FM10b-d-2
F	BY-GPD1-FM10a-BY-6	BY-GPD1-FM10b-BY-6	BY-GPD1-FM10c-BY-6	BY-GPD1-FM10d-BY-6	BY-GPD1-FM10a-RM-6	BY-GPD1-FM10b-RM-6	BY-GPD1-FM10c-RM-6	BY-GPD1-FM10d-RM-6	BY-GPD1-MKT1-BY-6	BY-GPD1-MKT1-RM-6	BY-GPD1-FM10c-d-1	BY-GPD1-FM10c-d-2
G	BY-GPD1-FM10a-BY-7	BY-GPD1-FM10b-BY-7	BY-GPD1-FM10c-BY-7	BY-GPD1-FM10d-BY-7	BY-GPD1-FM10a-RM-7	BY-GPD1-FM10b-RM-7	BY-GPD1-FM10c-RM-7	BY-GPD1-FM10d-RM-7	BY-GPD1-MKT1-BY-7	BY-GPD1-MKT1-RM-7	BY-GPD1-FM10d-d-1	BY-GPD1-FM10d-d-2
H	BY-GPD1-FM10a-BY-8	BY-GPD1-FM10b-BY-8	BY-GPD1-FM10c-BY-8	BY-GPD1-FM10d-BY-8	BY-GPD1-FM10a-RM-8	BY-GPD1-FM10b-RM-8	BY-GPD1-FM10c-RM-8	BY-GPD1-FM10d-RM-8	Blanc-GPD1-MKT1-BY-8	Blanc-GPD1-MKT1-RM-8	BY-GPD1-MKT1-d-1	BY-GPD1-MKT1-d-2
