	1	2	3	4	5	6	7	8	9	10	11	12
A	BY-GPD1-FM10a-BY-11	Blanc-GPD1-FM10a-RM-11	BY-GPD1-FM10a-GG-11	BY-GPD1-FM10a-BY-21	Blanc-GPD1-FM10a-RM-21	BY-GPD1-FM10a-GG-21	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
B	BY-GPD1-FM10a-BY-12	BY-GPD1-FM10a-RM-12	BY-GPD1-FM10a-GG-12	BY-GPD1-FM10a-BY-22	BY-GPD1-FM10a-RM-22	BY-GPD1-FM10a-GG-22	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
C	BY-GPD1-FM10a-BY-13	BY-GPD1-FM10a-RM-13	BY-GPD1-FM10a-GG-13	BY-GPD1-FM10a-BY-23	BY-GPD1-FM10a-RM-23	BY-GPD1-FM10a-GG-23	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
D	BY-GPD1-FM10a-BY-14	BY-GPD1-FM10a-RM-14	BY-GPD1-FM10a-GG-14	BY-GPD1-FM10a-BY-24	BY-GPD1-FM10a-RM-24	BY-GPD1-FM10a-GG-24	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
E	BY-GPD1-FM10a-BY-15	BY-GPD1-FM10a-RM-15	BY-GPD1-FM10a-GG-15	BY-GPD1-FM10a-BY-25	BY-GPD1-FM10a-RM-25	BY-GPD1-FM10a-GG-25	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
F	BY-GPD1-FM10a-BY-16	BY-GPD1-FM10a-RM-16	BY-GPD1-FM10a-GG-16	BY-GPD1-FM10a-BY-26	BY-GPD1-FM10a-RM-26	BY-GPD1-FM10a-GG-26	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
G	BY-GPD1-FM10a-BY-17	BY-GPD1-FM10a-RM-17	BY-GPD1-FM10a-GG-17	BY-GPD1-FM10a-BY-27	BY-GPD1-FM10a-RM-27	BY-GPD1-FM10a-GG-27	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
H	BY-GPD1-FM10a-BY-18	BY-GPD1-FM10a-RM-18	BY-GPD1-FM10a-GG-18	BY-GPD1-FM10a-BY-28	BY-GPD1-FM10a-RM-28	BY-GPD1-FM10a-GG-28	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY
