target_id	length	eff_length	est_counts	tpm
YNR002C	849	650	35	0.997665
YMR172C-A	384	185	0	0
YIL158W	615	416	2099	93.4865
YBR086C	2841	2642	13779	96.6306
YLR361C-A	297	98.0609	509	96.1727
YOR027W	1770	1571	19335	228.033
YER048W-A	285	86.2066	861	185.052
YML090W	387	188	4	0.394214
YDR210W-B	5313	5114	1909.69	6.91884
YHR164C	4569	4370	2206	9.35307
YGR278W	1734	1535	1289	15.5587
Q0085	780	581	0	0
YPR150W	522	323	18	1.03252
YKL204W	1899	1700	2924	31.8683
YDR462W	444	245	593	44.8455
YMR273C	2748	2549	2346	17.0525
YJL162C	1752	1553	1521	18.1463
YMR175W-A	195	22.8744	3	2.42998
YLL054C	2532	2333	1270	10.086
YDL055C	1086	887	65475	1367.67
YPR080W	1377	1178	398287	6264.41
YFL017W-A	234	42.0611	267	117.615
YOL019W	1656	1457	2102	26.7303
YGL127C	384	185	531	53.1805
YLR266C	2106	1907	1723	16.7404
YGR268C	597	398	500	23.2765
YHL033C	771	572	36669.8	1187.8
YGL063C-A	150	13.0193	0	0
YKR076W	1113	914	590	11.9601
YJR130C	1920	1721	3255	35.0429
YEL007W	2001	1802	5275	54.2372
YMR285C	1548	1349	2676	36.754
YBR104W	990	791	3407	79.8042
YPL263C	1956	1757	8874	93.5788
YER096W	1539	1340	136	1.88046
YOR325W	474	275	2	0.13475
YIL128W	3099	2900	3904	24.9426
YDR311W	1929	1730	3095	33.147
YKL088W	1716	1517	3362	41.0622
YJL046W	1230	1031	1406	25.2672
YLR228C	2445	2246	1846	15.2283
YER053C-A	114	9.32945	0	0
YKL056C	504	305	41812	2539.98
YPL037C	474	275	20440	1377.14
YDR459C	1125	926	1241	24.8308
YOR357C	489	290	1302	83.1846
YNR004W	441	242	196	15.0062
YNL192W	3396	3197	9975	57.8096
YGL068W	585	386	2626	126.048
YNL339W-B	483	284	0	0
YKL096C-B	150	13.0193	0	0
YDL157C	357	158	1597	187.274
YOR007C	1041	842	24410	537.138
YJL029C	2469	2270	3021	24.6578
YBR105C	1089	890	2154	44.8421
YDL013W	1860	1661	2176	24.2728
YJR052W	1698	1499	1869	23.1014
YGL200C	612	413	9894	443.866
YNL194C	906	707	42	1.10068
YDR260C	513	314	798	47.0872
YPL012W	3687	3488	19145	101.697
YBL047C	4146	3947	8990	42.201
YKR001C	2115	1916	12899	124.736
YNR072W	1695	1496	15.3333	0.189904
YLR157W-E	165	15.3999	0.693775	0.834702
YBR154C	648	449	6386	263.519
YPL156C	855	656	293	8.27549
YKL048C	1923	1724	1653	17.765
YJL020C	3474	3275	4633	26.2108
YPL105C	2550	2351	7567	59.635
YLR251W	594	395	318	14.9163
YHR049C-A	297	98.0609	0	0
YGR113W	1032	833	1507	33.5196
YEL018C-A	534	335	5	0.276538
YHL006W-A	354	155	2	0.239072
YGL008C	2757	2558	243837	1766.15
YBR253W	366	167	804	89.201
YLR212C	1422	1223	2504	37.9348
YCR020C	648	449	179	7.38647
YDR340W	303	104.031	866	154.236
YJR141W	1044	845	1207	26.4655
YHR060W	546	347	1568	83.7233
YDR361C	852	653	4672	132.562
YPL009C	3117	2918	8181.15	51.9469
YNL027W	2037	1838	2608	26.2901
YNL065W	1761	1562	7185	85.2267
YNL211C	261	63.4937	107	31.2236
YHL038C	1893	1694	1481	16.1984
YPL070W	1839	1640	2030	22.9341
YOL111C	639	440	1600	67.3748
YDR075W	927	728	1845	46.9564
YER009W	378	179	9598	993.477
YMR219W	4977	4778	4292	16.6435
YFL034C-B	864	665	1464	40.7896
YIR011C	960	761	3314	80.6859
YMR297W	1599	1400	26372	349.016
YIL139C	738	539	998	34.3061
YJR021C	945	746	542	13.4614
YDR254W	1377	1178	764	12.0165
YNL301C	561	362	9075.93	464.529
YPL005W	1821	1622	743	8.48727
YGL105W	1131	932	23695	471.054
YBR255C-A	363	164	419	47.3369
YDL224C	1950	1751	2607	27.5858
YKL188C	2562	2363	651	5.10443
YGR090W	3714	3515	11985	63.1746
YKL062W	1893	1694	2280	24.9374
YER044C	447	248	1099	82.1062
YNL315C	957	758	2501	61.1328
YLL049W	540	341	797	43.3046
YKL216W	945	746	38857	965.074
YJL158C	684	485	14949.3	571.097
YDR162C	711	512	1481	53.5939
YCR024C-B	267	68.9638	10050	2700.07
YJL202C	348	149	2	0.248699
YCR059C	777	578	2199	70.49
YDL183C	963	764	434	10.5251
YKR046C	852	653	944	26.7848
YCL039W	2238	2039	1258	11.4312
YER140W	1671	1472	1662	20.9196
YPL069C	1008	809	1071	24.5285
YOR386W	1698	1499	588	7.26785
YLR365W	333	134.001	8	1.10615
YPL151C	1356	1157	1447	23.1721
YNL042W	1191	992	950	17.7436
YHR207C	1581	1382	2524	33.8385
YCR064C	411	212	37	3.23367
YDR171W	1128	929	2386	47.5866
YPL157W	948	749	1878	46.4562
YLR227W-A	1323	1124	3.35674e-08	5.53326e-10
YDR479C	1665	1466	1163	14.6986
YAL034W-A	870	671	556	15.3526
YBR013C	390	191	327	31.7208
YOR258W	654	455	394	16.0441
YNR057C	714	515	464	16.6932
YJL113W	4647	4448	771.625	3.21419
YIL015W	1764	1565	18281	216.429
YGR161W-C	279	80.3587	94	21.6733
YHR127W	732	533	1426	49.5704
YFL018C	1500	1301	14656	208.722
YNL328C	441	242	112	8.57497
YCL049C	939	740	800	20.0303
YLR072W	2082	1883	1954	19.2267
YHR111W	1323	1124	2348	38.7045
YGL055W	1533	1334	26259	364.714
YBR288C	1452	1253	3271	48.3681
YOL055C	1656	1457	1314	16.7096
YOR347C	1521	1322	811	11.3663
YGL065C	1512	1313	2540	35.8426
YHR013C	717	518	3560	127.336
YOR307C	1362	1163	2591	41.2779
YAL042C-A	378	179	2	0.207017
YNL144C	2223	2024	589	5.39181
YIR038C	705	506	1582	57.9277
YLR230W	306	107.022	1	0.173124
YAL046C	357	158	744	87.2461
YPL193W	1146	947	2242	43.8647
YER147C-A	411	212	13	1.13615
YJL045W	1905	1706	105	1.14036
YGR208W	930	731	3642	92.3108
YDR347W	966	767	3101	74.9094
YER190C-B	483	284	2.20382	0.143777
YKR078W	1758	1559	1260	14.9746
YDR201W	498	299	859	53.2294
YPR087W	321	122.003	1	0.151865
YLR027C	1257	1058	18990	332.559
YOR275C	1986	1787	2617	27.1337
YML077W	480	281	1575	103.849
YGL245W	2127	1928	34236	329.008
YHR058C	888	689	1058	28.4509
YPR181C	2307	2108	11606	102.01
YDL025W-A	105	8.69459	0	0
YER190W	5046	4847	487.028	1.86171
YBR106W	567	368	18630	937.983
YHR018C	1392	1193	20215	313.952
YPL197C	414	215	8	0.689416
YBR170C	1743	1544	2750	33.0001
YMR304W	3693	3494	2907	15.4153
YDL211C	1119	920	438	8.82097
YPL078C	735	536	5778	199.73
YDR273W	1098	899	361	7.44008
YOL007C	1026	827	2423	54.2848
YDR399W	666	467	8185	324.737
YLR064W	822	623	3237	96.2686
YKL181W	1284	1085	17223	294.109
YML047W-A	366	167	2	0.221893
YGR192C	999	800	552472	12795.3
YGL045W	1629	1430	697	9.03081
YDL078C	1032	833	6825	151.806
YOL041C	1380	1181	9930	155.786
YMR226C	804	605	11877	363.732
YHR200W	807	608	5473	166.783
YDR524C	1449	1250	2432	36.0482
YLR111W	333	134.001	14	1.93576
YBR219C	384	185	0	0
YMR122C	375	176	9	0.947458
YGR270W	4140	3941	7075	33.2621
YPR125W	1365	1166	4407	70.0284
YEL046C	1164	965	13783	264.634
YIR015W	435	236	326	25.5938
YGR136W	726	527	3234.51	113.718
YMR242C	519	320	51027.4	2954.49
YLR379W	375	176	0	0
YDR204W	1008	809	1642	37.6058
YPL161C	1902	1703	2105	22.9017
YMR145C	1683	1484	8467	105.712
YIR017W-A	600	401	3	0.138614
YLL031C	3054	2855	5847	37.9452
YDR300C	1287	1088	5528	94.1389
YLR229C	576	377	5673	278.806
YLR421C	471	272	3202	218.113
YJR151C	3486	3287	539	3.03822
YMR307C-A	195	22.8744	0	0
YPL096W	1092	893	1444	29.9603
YML038C	1329	1130	2825	46.3202
YJL082W	2196	1997	1819	16.8766
YIL006W	1122	923	324	6.50389
YLR392C	1557	1358	1022	13.9438
YGR075C	729	530	353	12.3404
YBR268W	318	119.005	860	133.895
YDR316W	1416	1217	1818	27.6779
YNR070W	4002	3803	115	0.560275
YKR020W	495	296	683	42.7522
YOL164W-A	183	19.3378	0	0
YPR142C	564	365	6	0.304571
YNL145W	117	9.56096	0	0
YHR068W	1164	965	13388	257.05
YEL010W	351	152	0	0
YOL013W-B	291	92.1144	1	0.201142
YGL160W	1713	1514	2699	33.0299
YGR042W	816	617	1051	31.5608
YDR430C	2970	2771	3405	22.7672
YPR160W	2709	2510	2598	19.1777
YER007W	1557	1358	891	12.1565
YGR095C	672	473	2372	92.9145
YCR041W	333	134.001	58	8.01957
YFL033C	5313	5114	2477	8.97419
YDL089W	1455	1256	1564	23.0716
YDR522C	1509	1310	5	0.0707178
YEL062W	1848	1649	1202	13.5056
YBR026C	1143	944	4043	79.3527
YLR143W	2058	1859	3207	31.9631
YMR125W	2586	2387	9717	75.424
YLR126C	756	557	1131	37.6216
YGL086W	2250	2051	4091	36.9568
YNL129W	723	524	1778	62.8681
YGL048C	1218	1019	11348	206.336
YER106W	909	710	21	0.548013
YBR083W	1461	1262	4521	66.3751
YJR012C	624	425	711	30.9964
YGR169C	1215	1016	1129	20.5888
YDR509W	348	149	0	0
Q0010	387	188	0	0
YMR074C	438	239	2888	223.887
YJL127W-A	117	9.56096	0	0
YDR341C	1824	1625	26052	297.042
YDR521W	336	137	1	0.135241
YMR269W	636	437	1626	68.9397
YJR112W-A	330	131.001	477	67.4643
YHR138C	345	146	461	58.503
YBL039C-A	84	7.49517	0	0
YFL021W	1533	1334	1941	26.9587
YPL144W	447	248	473	35.3378
YML026C	441	242	42489.4	3253.09
YEL053C	2202	2003	3331	30.8123
YHL020C	1215	1016	3514	64.0823
YGR106C	798	599	13751	425.341
YLR444C	303	104.031	2	0.356202
YJR128W	360	161	3	0.345243
YMR194C-B	222	34.6815	68	36.3279
YLR452C	2097	1898	9945	97.082
YMR005W	1167	968	3860	73.8826
YOL099C	492	293	1	0.0632357
YLR363C	657	458	813	32.8893
YIL023C	1041	842	1793	39.4546
YGL115W	969	770	4427	106.524
YKL138C	396	197	1163	109.381
YOL109W	342	143	29386	3807.45
YGL002W	651	452	1610	65.996
YOR312C	519	320	54381.6	3148.71
YLR179C	606	407	11544	525.523
YNL230C	1140	941	762	15.0036
YHL028W	1818	1619	2803	32.0779
YCR015C	954	755	652	16.0004
YPR199C	885	686	1403	37.8934
YMR313C	1929	1730	2404	25.7465
YLR361C	1737	1538	1789	21.5518
YBR077C	489	290	591	37.7589
YOR298W	1440	1241	213	3.18008
YDR380W	1908	1709	276	2.99224
YMR135W-A	534	335	0	0
YGL226C-A	261	63.4937	1102	321.574
YDL177C	513	314	654	38.5903
YOL084W	2976	2777	177	1.18094
YLR069C	2286	2087	4286	38.0504
YDR060W	3078	2879	21056	135.508
YDL096C	327	128.001	2	0.289498
YGR149W	1299	1100	1434	24.1539
YPL213W	717	518	772	27.6132
YPL203W	1143	944	1538	30.1866
YLL041C	801	602	1968	60.5701
YGL258W-A	234	42.0611	10	4.40504
YBL026W	288	89.1545	1046	217.379
YBR076C-A	267	68.9638	31	8.32857
YNR021W	1215	1016	11931	217.577
YGR080W	999	800	2374	54.982
YBL055C	1257	1058	2681	46.9506
YBR195C	1269	1070	2074	35.9133
YCR096C	360	161	198	22.7861
YIL172C	1770	1571	89.972	1.06111
YPL191C	1083	884	545	11.4228
YMR013C	1560	1361	1558	21.2099
YPL148C	522	323	257	14.7421
YFL038C	621	422	10655	467.812
YPL088W	1029	830	593	13.2375
YPL240C	2130	1931	14582.2	139.917
YIL037C	1971	1772	191	1.9971
YGL145W	2106	1907	2955	28.7102
YLR232W	348	149	1	0.124349
YNL004W	1365	1166	6448	102.46
YPR060C	771	572	3082	99.8313
YEL018W	840	641	1496	43.2418
YEL043W	2871	2672	4554	31.5781
YHR069C	1080	881	3829	80.5266
YLR323C	780	581	922	29.4025
YGL172W	1419	1220	4549	69.0854
YPL053C	1341	1142	5357	86.9132
YJR070C	978	779	11735	279.11
YPL283C	5580	5381	3062.37	10.5445
YDL143W	1587	1388	16959	226.381
YDR257C	1485	1286	3038	43.77
YKL162C	1209	1010	363	6.6591
YHL027W	1878	1679	4216	46.5243
YAR068W	486	287	0	0
YMR290C	1518	1319	10681	150.037
YGR296C-A	576	377	3.82147	0.18781
YDL021W	936	737	488	12.2682
YDR452W	2025	1826	8110	82.2906
YPL211W	546	347	3420	182.611
YBR074W	2931	2732	5356	36.3237
YAL038W	1503	1304	271933	3863.8
YBL071W-A	249	53.2273	454	158.034
YMR024W	1173	974	2694	51.247
YOL047C	1071	872	38	0.807416
YDL018C	678	479	1034	39.9959
YLR147C	306	107.022	781	135.21
YIL061C	903	704	782	20.5809
YML012W	636	437	9993	423.686
YHR187W	930	731	1756	44.5079
Q0250	756	557	1	0.033264
YGR155W	1524	1325	41340	578.076
YLR155C	1089	890	4137.25	86.1295
YLR136C	858	659	106	2.98023
YKR015C	1707	1508	39	0.479174
YDL060W	2367	2168	10925	93.3667
YLR320W	4365	4166	2092	9.30406
YIL069C	408	209	19250.7	1706.6
YHR075C	1203	1004	567	10.4636
YIL085C	1554	1355	4321	59.0847
YGL195W	8019	7820	18165	43.0386
YDR062W	1686	1487	12175	151.701
YOL119C	1506	1307	3555	50.3958
YJR105W	1023	824	29959	673.643
YNL289W	840	641	1585	45.8143
YER161C	1002	803	2624	60.545
YNR036C	462	263	2802	197.398
YAL067C	1782	1583	101	1.18214
YMR247C	4689	4490	4739	19.5556
YOR316C-A	210	28.6775	11	7.10692
YJL096W	486	287	1313	84.7643
YMR111C	1389	1190	985	15.3363
YBR136W	7107	6908	1999	5.36155
YKL059C	1326	1127	1415	23.2628
YGR018C	330	131.001	7	0.990042
YMR090W	684	485	858	32.7775
YNR061C	660	461	2457	98.7493
YGR119C	1626	1427	7018	91.1212
YGR235C	702	503	2200	81.0372
YER121W	345	146	39	4.94927
YJL204C	2523	2324	2115	16.8618
YER180C-A	258	60.8345	94	28.6291
YMR294W-A	360	161	2	0.230162
YGR209C	315	116.007	5983	955.573
YMR306C-A	390	191	15	1.45508
YNL154C	1641	1442	9110	117.053
YDL012C	324	125.002	954	141.404
YBL064C	786	587	2653	83.7393
YDL181W	258	60.8345	324	98.679
YOR392W	444	245	5	0.378124
YMR133W	1287	1088	8	0.136236
YKL029C	2010	1811	20246	207.134
YPR106W	1332	1133	1406	22.9925
YNL039W	1785	1586	3339	39.0071
YDL149W	2994	2795	663	4.39503
YER170W	678	479	512	19.8045
YDR009W	1563	1364	220	2.9884
YBR282W	441	242	1077	82.4575
YGR187C	1185	986	5990	112.559
YLR007W	1011	812	1531	34.9341
YPL269W	1935	1736	923	9.85104
Q0110	1272	1073	1	0.0172675
YER013W	3438	3239	2748	15.7194
YER060W	1587	1388	1462.81	19.5267
YDR407C	3870	3671	4549	22.9595
YHR137W	1542	1343	442	6.09784
YHL034W-A	462	263	1	0.0704489
YGL009C	2340	2141	262001	2267.34
YGR058W	1008	809	1049	24.0246
YIR041W	375	176	2	0.210546
YIL008W	300	101.044	1551	284.402
YBR192W	1134	935	1635	32.3993
YHR101C	1008	809	830	19.009
YDR279W	1053	854	1643	35.6459
YBL009W	2031	1832	2961	29.9463
YER029C	591	392	1366	64.5646
YLR243W	819	620	2412	72.0801
YOL048C	1029	830	1050	23.4391
YJL025W	1545	1346	1507	20.7443
YDR427W	1182	983	7117	134.145
YDR246W	660	461	865	34.7652
YLR187W	3081	2882	989	6.35817
YER182W	735	536	1278	44.177
YDL024C	1407	1208	164	2.5154
YMR137C	1986	1787	1009	10.4616
YNL163C	3333	3134	6701	39.616
YMR228W	1026	827	1157	25.9214
YOL148C	1815	1616	2159	24.7538
YJR069C	594	395	3194	149.819
YDR411C	1026	827	1721	38.5572
YBR232C	360	161	0	0
YIL066C	2610	2411	279	2.14406
YNL061W	1857	1658	10499	117.326
YDR309C	1152	953	4743	92.2126
YER095W	1203	1004	1957	36.115
YCR054C	1692	1493	2121	26.3215
YDR499W	2244	2045	1691	15.3208
YJL138C	1188	989	49088.7	919.635
YJL063C	717	518	2021	72.2881
YKR004C	1134	935	947	18.7659
YMR206W	942	743	17	0.423926
YER092W	378	179	845	87.4649
YLR410W	3441	3242	5689	32.5127
YMR154C	2184	1985	497	4.63902
YBR101C	873	674	3447	94.757
YDR544C	429	230	11.5725	0.932245
YIL042C	1185	986	637	11.97
YOL004W	4611	4412	7605	31.937
YHR112C	1137	938	1587	31.3476
YGL029W	363	164	1624	183.473
YPL261C	309	110.015	1	0.168413
YGR160W	612	413	10	0.448621
YJR060W	1056	857	1999	43.2177
YDR437W	423	224	126	10.422
YHL022C	1197	998	201	3.7316
YGR017W	894	695	4040	107.703
YGL175C	1038	839	367	8.10465
YIL124W	894	695	3333	88.8547
YLR305C	5703	5504	6566	22.1031
YOR343C	327	128.001	28	4.05297
YGR234W	1200	1001	15910	294.487
YCR004C	744	545	6044	205.475
YKL115C	393	194	69	6.58988
YKL028W	1449	1250	4835	71.6665
YPR173C	1314	1115	6998	116.286
YAL011W	1878	1679	1534	16.928
YPR137W	1722	1523	8464	102.969
YJL108C	1152	953	450	8.74882
YHR039C-A	345	146	6196	786.3
YLR238W	1437	1238	1420	21.2519
YNL067W	576	377	13290.1	653.156
YEL016C	1482	1283	2000	28.8824
YEL020C	1683	1484	1227	15.3194
YLR020C	1617	1418	4781	62.4701
YPL060W	1242	1043	540	9.59267
YER087W	1731	1532	1213	14.6701
YIL156W-B	222	34.6815	182	97.2306
YOL087C	3351	3152	3263	19.1805
YNL304W	1254	1055	685	12.0301
YHR056C	2652	2453	5062.11	38.2353
YNL092W	1203	1004	170	3.13722
YJR110W	2067	1868	1661	16.4749
YKL033W	3117	2918	2087	13.2516
YPL152W	1077	878	756	15.9535
YLR427W	2013	1814	3674	37.526
YHR214W	612	413	168	7.53684
YLR049C	1287	1088	2253	38.3674
YBR025C	1185	986	36319	682.475
YGL243W	1203	1004	1502	27.7183
YNL208W	600	401	8961	414.04
YER055C	894	695	20686	551.47
YHR065C	1506	1307	6281	89.0396
YJR123W	678	479	146287	5658.49
YDR405W	792	593	1022	31.932
YNL128W	1305	1106	149	2.4961
YGL163C	2697	2498	1988	14.7453
YDR426C	378	179	1	0.103509
YMR139W	1113	914	1890	38.3129
YDR442W	393	194	0	0
YJL128C	2007	1808	3348	34.3097
YDL217C	624	425	1358	59.2026
YJR002W	1782	1583	9569	111.999
YOL085C	342	143	0	0
YPL094C	825	626	7805	231.009
YJL157C	2493	2294	8203	66.2536
YER120W	735	536	7567	261.571
YAL037C-A	93	7.96714	0	0
YGL207W	3108	2909	12436	79.2076
YDR516C	1503	1304	4216	59.9036
YLR315W	462	263	120	8.45387
YPL106C	2082	1883	61576	605.886
YFR042W	603	404	780	35.772
YLR256W	4509	4310	14561	62.5956
YPR191W	1107	908	5914	120.677
YJR029W	5268	5069	63943.6	233.725
YMR241W	945	746	8111	201.449
YNR077C	255	58.2335	3	0.954505
YOR147W	1869	1670	2352	26.0946
YJL189W	156	13.8921	0	0
YAL059C-A	423	224	2	0.165429
YHR079C-A	276	77.4659	1	0.239177
YBR260C	2001	1802	1963	20.1835
YLR396C	2076	1877	1994	19.683
YOL079W	399	200	4	0.370561
YNR037C	276	77.4659	593	141.832
YPL243W	1800	1601	9505	110
YDL109C	1944	1745	707	7.50678
YBR018C	1101	902	95	1.9514
YLR440C	2130	1931	2554	24.5058
YDL248W	1152	953	907.489	17.6433
YCR043C	384	185	1741	174.364
YBR054W	1035	836	4687	103.877
YPL270W	2322	2123	3883	33.8881
YNL164C	1056	857	1389	30.0297
YNL062C	1437	1238	5063	75.7735
YML106W	681	482	11824	454.514
YMR003W	597	398	544	25.3248
YMR298W	453	254	3021	220.367
YGR296W	5580	5381	3062.37	10.5445
YIL029W-A	372	173	1	0.107099
YMR037C	2115	1916	3577	34.5902
YHR012W	849	650	2919	83.2052
YKL094W	942	743	4718	117.652
YOR066W	1890	1691	1823	19.9744
YDR497C	1755	1556	51891	617.892
YLR367W	393	194	9573	914.274
YOR129C	2682	2483	1461	10.9019
YOL161C	363	164	2.16699	0.244817
YJL027C	417	218	11	0.934902
YJR147W	1077	878	1607	33.9118
YDR409W	2715	2516	1689	12.438
YDR041W	612	413	1532	68.7288
YMR272C	1155	956	5981	115.917
YJL039C	5052	4853	7299	27.8665
YKL143W	1392	1193	7515	116.713
YDR307W	1989	1790	2291	23.7138
YDL081C	321	122.003	23395	3552.89
YBL100C	315	116.007	3	0.479144
YIL019W	1041	842	3418	75.2125
YIL082W-A	4497	4298	0	0
YDR390C	1911	1712	5079	54.9673
YNL041C	2520	2321	3199	25.537
YDL201W	861	662	4526	126.674
YMR028W	1101	902	1462	30.0311
YNL200C	741	542	995	34.0137
YKR041W	753	554	156	5.21729
YER073W	1563	1364	29117	395.514
YGR144W	981	782	154	3.64875
YEL006W	1008	809	1956	44.7971
YKL225W	348	149	0	0
YJR007W	915	716	12195	315.572
YBR053C	1077	878	2547	53.7483
YNL238W	2445	2246	6210	51.2285
YCR073W-A	948	749	2046	50.612
YGL109W	324	125.002	3	0.444666
YJL075C	417	218	0	0
YHR211W	3228	3029	879.815	5.38173
YOR269W	1485	1286	1010	14.5516
YML039W	5268	5069	554.516	2.02685
YLL060C	702	503	320	11.7872
YDR500C	267	68.9638	13022	3498.54
YPL163C	783	584	4668	148.098
YKL118W	312	113.011	0	0
YLL003W	2841	2642	2611	18.3107
YBR103C-A	144	12.2368	0	0
YAL064W-B	381	182	36	3.66489
YMR258C	1662	1463	1398	17.7049
YML125C	939	740	8364	209.417
YML069W	1659	1460	7779	98.719
YOL057W	2136	1937	5647	54.0155
YKL145W	1404	1205	15240	234.33
YPL283W-B	483	284	2.20382	0.143777
YFR030W	3108	2909	5497	35.0116
YGR146C	636	437	2294	97.2617
YIL150C	1716	1517	834	10.1862
YDL126C	2508	2309	42748	343.022
YDL006W	846	647	1466	41.9817
YOL083C-A	141	11.8758	0	0
YMR025W	888	689	391	10.5145
YGR287C	1770	1571	360.17	4.24778
YOR227W	3741	3542	2289	11.9737
YDL233W	1377	1178	729	11.466
YCL057C-A	294	95.0839	946	184.338
YOR362C	867	668	8842	245.247
YNL266W	420	221	2	0.167675
YMR276W	1122	923	7199	144.511
YOR217W	2586	2387	6601	51.2374
YGR061C	4077	3878	15177	72.5117
YBR049C	2433	2234	6005	49.8035
YML124C	1338	1139	9797	159.367
YPL246C	789	590	3160	99.235
YDL178W	1593	1394	4288	56.9931
YOR111W	699	500	721	26.7175
YLR156W	345	146	16.7687	2.12803
YLR152C	1731	1532	2064	24.9621
YLR431C	1362	1163	882	14.0514
YMR096W	894	695	10283	274.135
YNL240C	1476	1277	2137	31.0058
YKL019W	951	752	2687	66.2033
YGR168C	1131	932	771	15.3274
YGR027C	327	128.001	29039.7	4203.46
YGL250W	726	527	297	10.4418
YJL048C	1191	992	1809	33.7876
Q0105	1158	959	1	0.0193202
YEL031W	3648	3449	17372	93.3226
YDL147W	1338	1139	14453	235.106
YJL129C	3708	3509	4992	26.3585
YJL188C	309	110.015	0	0
YKL191W	1605	1406	6644	87.5537
YDR320C-A	219	33.0557	587	329.02
YIL099W	1650	1451	85	1.08538
YJR135C	720	521	390	13.8694
YBR102C	2262	2063	2329	20.917
YGR161C-C	1323	1124	0.00908054	0.000149684
YIR013C	366	167	7	0.776625
YDR144C	1791	1592	6692	77.883
YIL094C	1116	917	12166	245.815
YIL002W-A	210	28.6775	1304	842.494
YMR032W	2010	1811	2336	23.8993
YAL049C	741	542	1974	67.4804
YPL112C	1185	986	2486	46.7148
YJL077W-A	87	7.64624	0	0
YMR078C	2226	2027	2440	22.3031
YJL085W	1872	1673	2257	24.9957
YKL209C	3873	3674	21987	110.881
YKL128C	888	689	4017	108.022
YMR010W	1218	1019	3411	62.0208
YBR193C	672	473	1004	39.3281
YCR023C	1836	1637	2994	33.887
YHL009C	993	794	1201	28.0254
YDL086W	822	623	3193	94.96
YOR201C	1239	1040	3365	59.949
YPR109W	885	686	1396	37.7043
YIL038C	2511	2312	5965	47.8027
YDR001C	2256	2057	5186	46.712
YPL137C	3831	3632	5521	28.1645
YML082W	1950	1751	2434	25.7552
YJL004C	612	413	1586	71.1513
YNL269W	396	197	2	0.188102
YPL233W	651	452	779	31.9322
YOR218C	420	221	0	0
YOR286W	450	251	1868	137.89
YOR315W	1041	842	4862	106.987
YNL010W	726	527	8445	296.906
YIL087C	474	275	392	26.4109
YJL070C	2667	2468	927	6.95928
YKR100C	1068	869	2787	59.422
YLR388W	171	16.5603	117	130.903
YNL079C	600	401	19423	897.433
YHR061C	945	746	682	16.9385
YLR415C	339	140	8	1.05874
YHR104W	984	785	4078	96.2515
YLL008W	2259	2060	14180	127.538
YPL111W	1002	803	2216	51.131
YPR123C	435	236	41	3.21886
YFL067W	528	329	3.89264	0.219219
YBR158W	1650	1451	18694	238.707
YGL146C	936	737	118	2.9665
YER043C	1350	1151	76431	1230.34
YEL077W-A	483	284	0.00201198	0.000131261
YBR182C	1359	1160	329	5.25494
YDL016C	303	104.031	5	0.890506
YMR054W	2673	2474	5221	39.1007
YPR015C	744	545	67	2.27776
YER026C	831	632	10442	306.123
YDR264C	2295	2096	7741	68.4283
YOL036W	2286	2087	4963	44.0607
YMR231W	3090	2891	2305	14.7725
YDL139C	672	473	426	16.687
YPR100W	423	224	1830	151.368
YDR095C	411	212	1	0.0873965
YOL028C	738	539	1179	40.528
YKL149C	1218	1019	1174	21.3464
YNR033W	2364	2165	3335	28.5409
YBL093C	663	464	2445	97.6317
YBR072C-A	162	14.8683	0	0
YPR122W	3627	3428	5560	30.0513
YOL009C	816	617	646	19.3989
YEL075W-A	612	413	0	0
YER124C	1722	1523	14128	171.874
YBR209W	318	119.005	0	0
YGR253C	783	584	8147	258.473
YHR214C-D	294	95.0839	0.5	0.0974301
YOL158C	1821	1622	2918	33.3322
YDR055W	1335	1136	10376	169.232
YMR190C	4344	4145	2241	10.0172
YDL110C	453	254	1033	75.3523
YNL187W	1074	875	673	14.2507
YNL274C	1053	854	1701	36.9043
YOR049C	1065	866	112	2.39624
YGR051C	324	125.002	2	0.296444
YMR027W	1413	1214	6199	94.6091
YGR135W	777	578	8986	288.05
YIL044C	897	698	2825	74.9882
YJR032W	1182	983	3213	60.5602
YPL257W-B	5268	5069	8883.31	32.47
YJL211C	444	245	5	0.378124
YDR419W	1899	1700	1893	20.6315
YBR011C	864	665	34593	963.821
YBR110W	1350	1151	3593	57.8378
YEL028W	462	263	129	9.08791
YGR089W	2811	2612	4525	32.0978
YOR009W	1464	1265	424	6.2102
YLR247C	4671	4472	3776	15.6444
YEL067C	588	389	128	6.09664
YDR266C	1920	1721	4952	53.3126
YPR036W-A	204	26.1481	2313	1638.95
YDR512C	564	365	1639	83.1986
YPL208W	1752	1553	2434	29.0388
YLR450W	3138	2939	4336	27.335
YML051W	1308	1109	2962	49.4861
YOR319W	642	443	837	35.0067
YCL014W	4911	4712	2577	10.133
YGL117W	798	599	3072	95.022
YFL010W-A	285	86.2066	0	0
YLR371W	4071	3872	4177	19.9875
YDL051W	828	629	10813	318.512
YAL056C-A	351	152	1	0.121895
YLL040C	9435	9236	6758	13.557
YKR070W	1059	860	2644	56.963
YHR081W	555	356	2564	133.444
YJL072C	642	443	1053	44.0407
YDR090C	933	734	1401	35.3649
YOR061W	1020	821	5540	125.025
YOR318C	306	107.022	48	8.30995
YDR038C	3276	3077	3424.96	20.6233
YPL256C	1638	1439	4978	64.095
YDR040C	3276	3077	4680.84	28.1855
