target_id	length	eff_length	est_counts	tpm
YDR379C-A	240	46.2784	163	65.2588
YDR113C	1122	923	1407	28.2438
YLR189C	3597	3398	4258	23.2173
YNR074C	1137	938	1748	34.5278
YOL159C	516	317	489	28.5811
YDL247W	1830	1631	192.545	2.1873
YFL028C	870	671	2433	67.1815
YML032C	1416	1217	2762	42.0497
YBR256C	717	518	6642	237.574
YOR081C	2250	2051	2538	22.9275
YLR442C	2937	2738	2607	17.6416
YPL024W	726	527	838	29.4621
YMR257C	2403	2204	1086	9.12953
YDL219W	453	254	1420	103.582
YKL122C	504	305	3103	188.5
YKR040C	504	305	10	0.607477
YDL080C	1830	1631	2122	24.1058
YGL240W	753	554	304	10.167
YEL001C	678	479	9218	356.559
YLR374C	390	191	4	0.388022
YPR168W	474	275	344	23.1769
YDL034W	345	146	1	0.126904
YHR109W	1758	1559	693	8.23601
YJL060W	1335	1136	2662	43.417
YPL061W	1503	1304	23466	333.42
YDR223W	1404	1205	182	2.79843
YER174C	735	536	1980	68.4432
YGR104C	924	725	1180	30.156
YLR240W	2628	2429	2122	16.1863
YPR062W	477	278	7209	480.463
YDR402C	1470	1271	42	0.612257
YLR037C	375	176	62	6.52693
YMR146C	1044	845	21643	474.56
YGR241C	1707	1508	2012	24.7205
YGL062W	3537	3338	6562.32	36.4251
YPR057W	1026	827	1757	39.3637
YIL012W	342	143	9	1.1661
YDR156W	414	215	1144	98.5865
YJR113C	744	545	1535	52.1845
YLR416C	399	200	17	1.57489
YPR131C	588	389	1203	57.2989
YLR029C	615	416	90283.4	4021.1
YMR155W	1644	1445	1118	14.3352
YNL180C	996	797	4382	101.869
YGR164W	336	137	0	0
YOL106W	354	155	81	9.68241
YIL140W	2472	2273	3144	25.6279
YIL171W-A	453	254	0	0
YDR272W	825	626	4263	126.174
YDR114C	303	104.031	2	0.356202
YOR238W	912	713	1489	38.6932
YPR077C	372	173	1.41564	0.151613
YKL142W	660	461	3921	157.589
YLR139C	1932	1733	986	10.5416
YNR044W	2178	1979	9052	84.7479
YPR009W	807	608	1340	40.8349
YHR032W	1746	1547	4927	59.0095
YDR429C	825	626	16063	475.425
YGL079W	657	458	936	37.8652
YNR031C	4740	4541	3708	15.1293
YHR084W	2067	1868	5070	50.2876
YOR004W	765	566	2984	97.6815
YMR086C-A	339	140	2	0.264686
YMR233W	681	482	1016	39.055
YMR244W	1068	869	47	1.00209
YLL010C	1284	1085	2221	37.927
YNL188W	1302	1103	2387	40.0965
YKL156C-A	117	9.56096	0	0
YNL104C	1860	1661	33718.7	376.124
YIL005W	2106	1907	4041	39.2616
YOR365C	2112	1913	22	0.213078
YNR030W	1656	1457	4043	51.4131
YBR265W	963	764	2615	63.4174
Q0055	2565	2366	19	0.148788
YGL131C	4212	4013	1904	8.79079
YDL162C	357	158	1	0.117266
YDR246W-A	201	24.9909	3	2.22418
YHR033W	1272	1073	436	7.52864
YNR040W	771	572	787	25.4923
YNR034W	966	767	741	17.9
YEL076C	651	452	122.446	5.0192
YHL046W-A	327	128.001	0	0
YDL071C	375	176	37	3.8951
YOR173W	1062	863	701	15.05
YOR337W	2280	2081	3626	32.2839
YGL104C	1461	1262	853	12.5233
YNL181W	1224	1025	2890	52.2401
YDR164C	2175	1976	2969	27.839
YGR243W	441	242	94	7.19685
YOR107W	930	731	1471	37.2842
YDR464W	4308	4109	5360	24.169
YGR210C	1236	1037	5350	95.5884
YLR012C	300	101.044	1	0.183367
YOR168W	2430	2231	22698	188.503
YLR054C	2175	1976	140	1.31272
YNL002C	969	770	11018	265.12
YHR193C	525	326	25508	1449.74
YNL294C	1602	1403	2860	37.7692
YOR005C	2835	2636	954	6.70553
YPR147C	915	716	2025	52.4013
YBR092C	1404	1205	16805.1	258.394
YJL028W	336	137	2	0.270482
