reporterId	systematicName	geneSymbol	M	A	pvalue
SCAB000078	YAL047C	SPC72	0.017537138	8.2498638	0.906221
SCAB000079	YAL048C	GEM1	0.10731292	7.9243763	0.394829
SCAB000080	YAL049C	AIM2	-0.18686774	10.406953	0.0843274
SCAB000081	YAL051W	OAF1	0.10392057	9.0031055	0.258413
SCAB000082	YAL053W	FLC2	0.046714554	9.6958746	0.694426
SCAB000083	YAL054C	ACS1	-0.061833167	8.4854237	0.57227
SCAB000084	YAL055W	PEX22	0.1389586	9.2516664	0.1669
SCAB000085	YAL056W	GPB2	-0.059782122	9.2668512	0.633655
SCAB000086	YAL056C-A	YAL056C-A	-0.0064256251	6.0062704	0.971773
SCAB000087	YAL058W	CNE1	-0.050133425	7.7155807	0.655781
SCAB000088	YAL059W	ECM1	0.03837999	10.418298	0.857367
SCAB000089	YAL060W	BDH1	0.098190455	10.069506	0.561025
SCAB000090	YAL061W	BDH2	-0.57955101	8.0311664	0.0190007
SCAB000091	YAL062W	GDH3	0.028385268	7.5145206	0.884357
SCAB000092	YAL063C	FLO9	0.00033178171	7.9459998	0.998064
SCAB000093	YAL064C-A	TDA8	0.0011969402	5.9359314	0.993777
SCAB000094	YAL064W	YAL064W	0.077571158	6.6466712	0.368694
SCAB000095	YAL064W-B	YAL064W-B	0.014241016	6.8978829	0.925115
SCAB000096	YAL065C	YAL065C	-0.0064111338	6.1705175	0.968975
SCAB000097	YAL066W	YAL066W	-0.0013726558	6.00532	0.992655
SCAB000098	YAL067C	SEO1	0.22312595	7.0077946	0.0057502
SCAB000099	YAL068C	PAU8	-0.088526229	8.1121591	0.394829
SCAB000100	YAL069W	YAL069W	0.085465448	7.2666953	0.430017
SCAB000101	YAR002C-A	ERP1	-0.033401203	10.021707	0.835686
SCAB000102	YAR002W	NUP60	-0.062575753	5.891669	0.667119
SCAB000103	YAR003W	SWD1	-0.15368722	9.6216056	0.128496
SCAB000104	YAR007C	RFA1	-0.037332531	8.3667394	0.818782
SCAB000105	YAR008W	SEN34	0.071240954	9.2486764	0.480067
SCAB000106	YAR009C	YAR009C	-0.29505369	11.315141	0.137136
SCAB000108	YAR014C	BUD14	-0.013634212	8.6489999	0.926717
SCAB000109	YAR015W	ADE1	0.015583204	10.699137	0.947008
SCAB000110	YAR018C	KIN3	-0.0018333871	9.8300676	0.990588
SCAB000111	YAR019C	CDC15	0.054987358	9.3334397	0.623418
SCAB000112	YAR020C	PAU7	-0.075263112	9.0918007	0.410302
SCAB000113	YAR023C	YAR023C	-0.014582636	5.9160277	0.949984
SCAB000114	YAR027W	UIP3	0.0033287823	7.6155299	0.987166
SCAB000115	YAR028W	YAR028W	0.12056428	9.4318965	0.301396
SCAB000116	YAR029W	YAR029W	0.018918982	7.3670002	0.905563
SCAB000117	YAR030C	YAR030C	0.060130414	7.1262958	0.585059
SCAB000118	YAR031W	PRM9	0.1816369	7.7883588	0.0698526
SCAB000119	YAR033W	MST28	0.13144461	8.8396988	0.169875
SCAB000120	YAR035W	YAT1	0.086158735	7.1969633	0.554806
SCAB000122	YAR042W	SWH1	-0.022274604	6.3535717	0.893215
SCAB000123	YAR047C	YAR047C	-0.0026252066	5.8088324	0.989173
SCAB000124	YAR050W	FLO1	-0.0083194379	5.8054017	0.972064
SCAB000125	YAR053W	YAR053W	0.18068257	7.3021492	0.0582529
SCAB000126	YAR060C	YAR060C	0.097341109	7.9233304	0.465602
SCAB000127	YHR212W-A	YHR212W-A	0.077748879	6.1423325	0.685326
SCAB000128	YAR062W	YAR062W	0.040808286	5.9764689	0.79094
SCAB000129	YAR064W	YAR064W	0.062619107	6.0375223	0.617951
SCAB000130	YHR214W	YHR214W	0.061347645	7.5543031	0.75367
