GOI	rep	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	mainPV	heritability	synergy
GPD1	2	GFP	low	all	-0.060357942740366	1.06E-37	-0.323254205488535	0	0	good	similar
GPD1	3	mCH	high	all	0.118270909028566	4.00E-73	-0.057226056015121	7.96E-11	4.00E-73	good	inverted
GPD1	3	mCH	low	all	-0.142199525646905	1.79E-99	-0.013270969278502	0.129821372369293	1.79E-99	good	none
GPD1	3	GFP	high	all	0.038729745938806	4.20E-09	0.282447088142468	1.02E-216	1.02E-216	good	similar
GPD1	3	GFP	low	all	-0.034917158365971	1.44E-07	-0.292306399700982	3.09E-254	3.09E-254	good	similar
GPD1	4	mCH	high	all	0.116084678519498	9.69E-91	-0.032716401321268	1.74E-05	9.69E-91	good	inverted
GPD1	4	mCH	low	all	-0.127742930312793	1.18E-103	-0.015413792734494	0.039065312090137	1.18E-103	good	none
GPD1	4	GFP	high	all	0.070465121420882	2.05E-34	0.319223050190648	0	0	good	similar
GPD1	4	GFP	low	all	-0.02110277735576	0.000302857764234	-0.296143041557102	0	0	good	similar
GPD1	5	mCH	high	all	0.107802552504467	1.37E-60	-0.067061127716738	8.96E-15	1.37E-60	good	inverted
GPD1	5	mCH	low	all	-0.124233788345559	1.35E-75	-0.000613715102876	0.944360714244701	1.35E-75	good	none
GPD1	5	GFP	high	all	0.036845974725089	2.37E-08	0.283889777096906	2.46E-214	2.46E-214	good	similar
GPD1	5	GFP	low	all	-0.022768066579331	0.000645766965735	-0.350023775985203	0	0	good	similar
MTD1	2	mCH	high	all	0.086469599905219	3.09E-33	-0.061068870396841	3.19E-18	3.09E-33	good	inverted
MTD1	2	mCH	low	all	-0.113029195352651	1.86E-52	0.009406901205202	0.178780765049402	1.86E-52	good	none
MTD1	2	GFP	high	all	0.067081805686372	2.41E-20	-0.020370444692364	0.00348902749644	0.00348902749644	nul	similar
MTD1	2	GFP	low	all	-0.109521513697101	2.03E-49	-0.010803235097285	0.12428675731477	0.12428675731477	nul	similar
UGP1	2	mCH	high	all	0.072374577402989	5.75E-26	-0.040221753196787	1.93E-06	5.75E-26	good	inverted
UGP1	2	mCH	low	all	-0.121172324510558	6.76E-64	-0.04750366847203	6.72E-08	6.76E-64	good	similar
UGP1	2	GFP	high	all	-0.014601318323481	0.034914192799849	0.310207817275685	7.21E-245	7.21E-245	good	none
UGP1	2	GFP	low	all	-0.023214774592218	0.000899800849199	-0.273946533037297	2.80E-253	2.80E-253	good	similar
ARO8	2	mCH	high	all	0.059135047809556	8.55E-17	0.039720544535689	1.48E-07	8.55E-17	good	similar
ARO8	2	mCH	low	all	-0.054018537819274	7.23E-14	-0.019824587498528	0.007752489393749	7.23E-14	good	similar
ARO8	2	GFP	high	all	0.063345284363154	2.80E-19	0.151013445512801	8.13E-87	8.13E-87	good	similar
ARO8	2	GFP	low	all	-0.084100973108274	1.06E-31	-0.136507721610103	3.27E-77	3.27E-77	good	similar
OLE1	1	mCH	high	all	0.064394493670962	2.72E-24	-0.009663802195458	0.152004419944507	2.72E-24	good	none
OLE1	1	mCH	low	all	-0.050083160872757	5.83E-15	-0.053022153121186	4.11E-15	5.83E-15	good	similar
OLE1	1	GFP	high	all	0.07893153789738	1.59E-35	0.041210967408537	7.76E-10	7.76E-10	good	similar
OLE1	1	GFP	low	all	-0.077185459446858	2.31E-33	-0.144283841533283	2.58E-104	2.58E-104	good	similar
CYC1	1	mCH	high	all	0.1724509717555	6.96E-108	0.310799347904132	1.10E-122	6.96E-108	good	similar
CYC1	1	mCH	low	all	-0.252805802470226	6.93E-194	-0.43257415364893	8.83E-237	6.93E-194	good	similar
CYC1	1	GFP	high	all	0.239114874224275	2.33E-230	0.709095753859211	0	0	good	similar
CYC1	1	GFP	low	all	-0.284192948437221	1.55E-254	-0.704843955425361	0	0	good	similar
TPO1	1	mCH	high	all	0.096967895778371	4.67E-41	0.115922166679817	2.11E-33	4.67E-41	good	similar
TPO1	1	mCH	low	all	-0.108070965949148	8.18E-47	-0.208637669312496	1.34E-108	8.18E-47	good	similar
TPO1	1	GFP	high	all	0.163104075587368	3.14E-122	0.577757709322549	0	0	good	similar
TPO1	1	GFP	low	all	-0.119058139477653	3.14E-57	-0.413929729237832	0	0	good	similar
CTS1	1	mCH	high	all	0.138203000534438	5.84E-49	-0.08189430896532	8.98E-08	5.84E-49	good	inverted
CTS1	1	mCH	low	all	-0.151640327982547	1.01E-55	0.055515302362355	9.69E-05	1.01E-55	good	inverted
CTS1	1	GFP	high	all	0.040983482620514	2.45E-05	-0.012065677841733	0.419447228838531	0.419447228838531	nul	similar
CTS1	1	GFP	low	all	-0.061012118526278	8.24E-11	-0.11701938057424	8.60E-15	8.60E-15	good	similar
RPS10A	1	mCH	high	all	0.073495638008589	3.18E-26	-0.002835395572509	0.583272839828888	3.18E-26	good	none
RPS10A	1	mCH	low	all	-0.073821936327903	2.59E-26	-6.91E-05	0.989335599288119	2.59E-26	good	none
RPS10A	1	GFP	high	all	0.022921511538899	0.000904729311884	0.025734080881586	7.45E-07	7.45E-07	good	similar
RPS10A	1	GFP	low	all	-0.032176563959419	4.00E-06	-0.085980813188211	1.25E-60	1.25E-60	good	similar
