GOI	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	finalPV	heritability	synergy
BMH2_1	mCH	high	all	0.180797119941194	7.85675671757208e-140	0.0546021284892841	1.5106072761553e-27	0		
BMH2_1	GFP	high	all	0.115360642513136	1.04524621460537e-59	0.256559261795285	0	0		
OLE1_2	mCH	high	all	0.140694105835543	1.7977055855569e-79	-0.0109476124942107	0.0686558925426207	0		
OLE1_2	GFP	high	all	0.104908474610043	3.30972348769277e-44	0.0711294534760087	1.79025229301407e-31	0		
CYC1_2	mCH	high	all	0.43211077741315	0	0.696656591313872	0	0		
CYC1_2	GFP	high	all	0.556184406417575	0	1.31842096601495	0	0		
TPO1_2	mCH	high	all	0.232638721154069	6.55467112092443e-181	0.23232653954041	2.15602790610874e-168	0		
TPO1_2	GFP	high	all	0.253454854938802	8.46191262662703e-248	0.882832594039501	0	0		
CTS1_2	mCH	high	all	0.239652213521535	3.57016958575515e-170	-0.054929806016438	6.39515657582977e-07	0		
CTS1_2	GFP	high	all	-0.00622138988529208	0.428159144478918	-0.0834095371733596	7.39011216514711e-14	0		
RPS10A_2	mCH	high	all	0.263059307141725	3.52494724757046e-295	-0.0136366626244051	0.00804400156472719	0		
RPS10A_2	GFP	high	all	0.123394903297762	1.75129472013594e-60	0.35681995325956	0	0		
