GOI	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	finalPV	heritability	synergy
GPD1_1	mCH	high	all	0.132670151105424	1.55012211323783e-230	-0.0543694173122491	4.22440153004203e-23	0		
GPD1_1	mCH	low	all	-0.148237619597011	4.14716470530706e-269	-0.0381429492093206	2.71336063389557e-12	0		
GPD1_1	GFP	high	all	0.0237155269685472	3.08363649599697e-09	0.291828652872119	0	0		
GPD1_1	GFP	low	all	-0.0707005428414504	7.20039581444114e-65	-0.332612632001204	0	0		
GPD1_2	mCH	high	all	0.109512258699473	3.90155938422336e-82	-0.0688151714377536	6.20678668809186e-18	0		
GPD1_2	mCH	low	all	-0.139100914726312	5.08637193588863e-122	-0.00964171083426812	0.221276986574865	0		
GPD1_2	GFP	high	all	0.0425013798950129	8.38126313862887e-14	0.284120094835463	3.28516391931872e-271	0		
GPD1_2	GFP	low	all	-0.056090826206721	1.25342830180681e-21	-0.314905731798841	0	0		
GPD1_3	mCH	high	all	0.123131560864301	2.2271202113585e-130	-0.0242325636224345	0.00044037872929654	0		
GPD1_3	mCH	low	all	-0.134167890986836	1.15772876554857e-142	-0.0219780633047097	0.00118340744080184	0		
GPD1_3	GFP	high	all	0.0722679247001583	4.70342644472054e-48	0.320173979305895	0	0		
GPD1_3	GFP	low	all	-0.0332844143248741	1.47805156927544e-10	-0.308744123980368	0	0		
GPD1_4	mCH	high	all	0.105281398276325	5.32596371039312e-74	-0.0709445437284453	2.46314972261867e-19	0		
GPD1_4	mCH	low	all	-0.132954767659782	1.6914697888092e-110	-0.0100500248834674	0.205642719626719	0		
GPD1_4	GFP	high	all	0.0355643208100789	5.19058542181136e-10	0.281285873963111	7.19764967541179e-260	0		
GPD1_4	GFP	low	all	-0.0392631313983394	3.58972555594072e-11	-0.367708739393922	0	0		
MTD1_1	mCH	high	all	0.103398307371152	2.38483575089742e-58	-0.0390511775697195	8.90502199514684e-12	0		
MTD1_1	mCH	low	all	-0.120648565499812	1.06448517928572e-74	0.000622538962050889	0.914022046397733	0		
MTD1_1	GFP	high	all	0.0836078935302327	2.81968044032193e-38	0.00116337266886735	0.838515449156912	0		
MTD1_1	GFP	low	all	-0.132200313545537	7.47090927788138e-87	-0.0389855661999068	2.10045289106282e-11	0		
UGP1_1	mCH	high	all	0.0698393100480015	5.16166592232989e-31	-0.0425931789532381	1.55229526884479e-08	0		
UGP1_1	mCH	low	all	-0.0976697678298475	2.56623006248382e-53	-0.0190965352834311	0.0150536273358816	0		
UGP1_1	GFP	high	all	-0.0191349889947636	0.00146531762822334	0.302476833172079	9.12173701930335e-296	0		
UGP1_1	GFP	low	all	-0.0111434977419824	0.0718438020317548	-0.257951716928846	7.28034228909786e-282	0		
ARO8_1	mCH	high	all	0.054867900356653	1.57876235455834e-18	0.0338682163179085	2.77113995722912e-08	0		
ARO8_1	mCH	low	all	-0.0677299572382193	6.76069280197761e-27	-0.0377813869563379	2.94940017943697e-10	0		
ARO8_1	GFP	high	all	0.0586591330706572	2.26768254017323e-21	0.144546681443485	5.53518056510863e-122	0		
ARO8_1	GFP	low	all	-0.11128129921229	1.8489406408503e-69	-0.172067890515723	1.79610211732314e-183	0		
OLE1_1	mCH	high	all	0.0731703463005848	8.07390994635676e-39	0.00111198994684791	0.845238959975219	0		
OLE1_1	mCH	low	all	-0.0457984359599193	1.00322174859956e-15	-0.0476072413242887	6.67028499814659e-17	0		
OLE1_1	GFP	high	all	-0.0672269480776979	1.80546374782674e-32	-0.131928129150664	3.15998916704183e-122	0		
OLE1_1	GFP	low	all	0.0954114073672798	3.4486177031132e-64	0.0613077910065947	2.83472673765695e-27	0		
CYC1_1	mCH	high	all	0.176144233947803	2.17962976566734e-131	0.316141900402566	3.51490879269031e-140	0		
CYC1_1	mCH	low	all	-0.25379784456678	7.30267610176791e-228	-0.433473635029391	1.15542835388297e-265	0		
CYC1_1	GFP	high	all	0.246547004476446	5.06988390174293e-292	0.71898948033581	0	0		
CYC1_1	GFP	low	all	-0.290604984635567	1.33392330275037e-309	-0.712570342823025	0	0		
TPO1_1	mCH	high	all	0.094919972050973	6.43471437097883e-48	0.113166565760234	7.45572652552683e-38	0		
TPO1_1	mCH	low	all	-0.11630676491528	5.0831172810966e-65	-0.218162600128081	2.93805253884794e-144	0		
TPO1_1	GFP	high	all	0.171058256139148	7.12614701616481e-170	0.587875372769057	0	0		
TPO1_1	GFP	low	all	-0.133469497805693	1.25351308221645e-85	-0.430861589137575	0	0		
CTS1_1	mCH	high	all	0.149305902374508	7.00801901068247e-62	-0.0521333626130831	0.000417177325172571	0		
CTS1_1	mCH	low	all	-0.16329242880143	6.67119490260899e-66	0.0244897336328016	0.0702490564150875	0		
CTS1_1	GFP	high	all	0.0400317617165573	2.23716902730459e-05	-0.0132202172846378	0.358504245732631	0		
CTS1_1	GFP	low	all	-0.03958785753023	1.1131825735059e-05	-0.0686287148511981	2.32212864034376e-06	0		
RPS10A_1	mCH	high	all	0.058378884771713	7.98575962139127e-23	-0.0167194735483367	3.20182475554208e-05	0		
RPS10A_1	mCH	low	all	-0.0681005149381182	1.16938545518302e-29	0.00484340619973977	0.228343301924802	0		
RPS10A_1	GFP	high	all	0.0177328528177627	0.00286415968946093	0.0210159640852421	1.48032835937685e-07	0		
RPS10A_1	GFP	low	all	-0.0254120052931848	2.23743560404455e-05	-0.0795220284715974	3.77982497238558e-82	0		
