GOI	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	finalPV	heritability	synergy
GPD1_1	mCH	high	all	0.280907770702435	0	-0.0162264681029285	0.00297590191122455	0		
GPD1_1	GFP	high	all	0.0944160698099976	6.06014487727548e-120	0.624441284873322	0	0		
GPD1_2	mCH	high	all	0.248613173425785	0	-0.0591734606034855	5.0210154863932e-14	0		
GPD1_2	GFP	high	all	0.0985922061017339	1.41170290785385e-66	0.599025826634303	0	0		
GPD1_3	mCH	high	all	0.257299451851137	0	-0.00225450031772478	0.774810918557251	0		
GPD1_3	GFP	high	all	0.105552339025032	4.07932047810653e-73	0.628918103286263	0	0		
GPD1_4	mCH	high	all	0.238236165936107	0	-0.0608945188449779	3.39895949616069e-15	0		
GPD1_4	GFP	high	all	0.0748274522084182	2.51870658065419e-37	0.648994613357033	0	0		
MTD1_1	mCH	high	all	0.224046872870964	5.01549023668927e-255	-0.0396737165317704	5.54870916552665e-12	0		
MTD1_1	GFP	high	all	0.21580820707577	1.04647747607923e-227	0.0401489388687741	4.33184863069413e-12	0		
UGP1_1	mCH	high	all	0.167509077877849	1.22305728228734e-155	-0.023496643669807	0.00211062243044817	0		
UGP1_1	GFP	high	all	-0.0079914912527812	0.189093506043615	0.560428550100926	0	0		
ARO8_1	mCH	high	all	0.122597857594872	6.54444771460355e-83	0.0716496032742464	4.6623956386094e-32	0		
ARO8_1	GFP	high	all	0.169940432282947	1.49118930414262e-159	0.316614571959208	0	0		
OLE1_1	mCH	high	all	0.118968782260504	1.75674629399595e-96	0.0487192312711366	3.86160214040646e-18	0		
OLE1_1	GFP	high	all	-0.162638355444978	1.57898692617192e-178	-0.193235920157258	3.10524413407466e-267	0		
CYC1_1	mCH	high	all	0.429942078514583	0	0.749615535431957	0	0		
CYC1_1	GFP	high	all	0.537151989112013	0	1.43155982315883	0	0		
TPO1_1	mCH	high	all	0.211226736966253	3.21664812291529e-212	0.331329165888315	9.88131291682493e-324	0		
TPO1_1	GFP	high	all	0.30452775394484	0	1.01873696190663	0	0		
CTS1_1	mCH	high	all	0.312598331175939	7.81444830858496e-227	-0.0766230962458847	2.38619938384854e-07	0		
CTS1_1	GFP	high	all	0.0796196192467873	5.01995293246253e-17	0.0554084975665603	0.000317654227107273	0		
RPS10A_1	mCH	high	all	0.126479399709831	2.52454991834204e-97	-0.0215628797480765	1.06509394816132e-07	0		
RPS10A_1	GFP	high	all	0.0431448581109475	6.83698042324322e-13	0.100537992556839	1.50924133621369e-128	0		
