GOI	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	finalPV	heritability	synergy
GPD1_1	mCH	high	all	0.12369277676097	4.47568450727837e-154	-0.0647654174534704	2.36070994225289e-26	4.47568450727837e-154	good	inverted
GPD1_1	mCH	low	all	-0.158046346616829	2.43763783131827e-236	-0.0498886305453228	1.69124657517761e-16	2.43763783131827e-236	good	similar
GPD1_1	GFP	high	all	0.0263718536077686	1.23306141538794e-08	0.295998608229863	0	0	good	similar
GPD1_1	GFP	low	all	-0.0603579427403655	1.05536247393315e-37	-0.323254205488535	0	0	good	similar
GPD1_2	mCH	high	all	0.118270909028566	3.99983557227138e-73	-0.0572260560151214	7.95590492336912e-11	3.99983557227138e-73	good	inverted
GPD1_2	mCH	low	all	-0.142199525646905	1.79262744523507e-99	-0.0132709692785022	0.129821372369293	1.79262744523507e-99	good	none
GPD1_2	GFP	high	all	0.0387297459388058	4.1962432609896e-09	0.282447088142468	1.01682651520339e-216	1.01682651520339e-216	good	similar
GPD1_2	GFP	low	all	-0.0349171583659711	1.44017239960338e-07	-0.292306399700982	3.09342537460984e-254	3.09342537460984e-254	good	similar
GPD1_3	mCH	high	all	0.116084678519498	9.69121364638562e-91	-0.0327164013212684	1.73994030118693e-05	9.69121364638562e-91	good	inverted
GPD1_3	mCH	low	all	-0.127742930312793	1.18336624386655e-103	-0.0154137927344937	0.0390653120901368	1.18336624386655e-103	good	none
GPD1_3	GFP	high	all	0.0704651214208818	2.0532773342188e-34	0.319223050190648	0	0	good	similar
GPD1_3	GFP	low	all	-0.0211027773557602	0.000302857764233655	-0.296143041557102	0	0	good	similar
GPD1_4	mCH	high	all	0.107802552504467	1.36647633450659e-60	-0.0670611277167383	8.95729297626674e-15	1.36647633450659e-60	good	inverted
GPD1_4	mCH	low	all	-0.124233788345559	1.35238417397925e-75	-0.000613715102876	0.944360714244701	1.35238417397925e-75	good	none
GPD1_4	GFP	high	all	0.0368459747250887	2.36763925719448e-08	0.283889777096906	2.45752982252652e-214	2.45752982252652e-214	good	similar
GPD1_4	GFP	low	all	-0.0227680665793306	0.000645766965734871	-0.350023775985203	0	0	good	similar
MTD1_1	mCH	high	all	0.086469599905219	3.09355993567841e-33	-0.0610688703968414	3.18756136602969e-18	3.09355993567841e-33	good	inverted
MTD1_1	mCH	low	all	-0.113029195352651	1.85831798521834e-52	0.00940690120520227	0.178780765049402	1.85831798521834e-52	good	none
MTD1_1	GFP	high	all	0.0670818056863718	2.41097149626588e-20	-0.0203704446923636	0.00348902749644004	0.00348902749644004	nul	similar
MTD1_1	GFP	low	all	-0.109521513697101	2.02924596117301e-49	-0.0108032350972849	0.12428675731477	0.12428675731477	nul	similar
UGP1_1	mCH	high	all	0.0723745774029885	5.75453688248387e-26	-0.0402217531967866	1.93069398999913e-06	5.75453688248387e-26	good	inverted
UGP1_1	mCH	low	all	-0.121172324510558	6.76423124554748e-64	-0.0475036684720296	6.71921939253079e-08	6.76423124554748e-64	good	similar
UGP1_1	GFP	high	all	-0.0146013183234812	0.0349141927998485	0.310207817275685	7.20743593619651e-245	7.20743593619651e-245	good	none
UGP1_1	GFP	low	all	-0.0232147745922182	0.000899800849198592	-0.273946533037297	2.80493729004204e-253	2.80493729004204e-253	good	similar
ARO8_1	mCH	high	all	0.0591350478095558	8.54528666150326e-17	0.0397205445356885	1.48469863448457e-07	8.54528666150326e-17	good	similar
ARO8_1	mCH	low	all	-0.0540185378192737	7.23112017076132e-14	-0.0198245874985279	0.00775248939374896	7.23112017076132e-14	good	similar
ARO8_1	GFP	high	all	0.0633452843631535	2.80031356425776e-19	0.151013445512801	8.13284981765175e-87	8.13284981765175e-87	good	similar
ARO8_1	GFP	low	all	-0.0841009731082742	1.06323506045804e-31	-0.136507721610103	3.27167512149133e-77	3.27167512149133e-77	good	similar
OLE1_1	mCH	high	all	0.0643944936709619	2.72065380220492e-24	-0.00966380219545826	0.152004419944507	2.72065380220492e-24	good	none
OLE1_1	mCH	low	all	-0.0500831608727568	5.82559594711919e-15	-0.0530221531211863	4.1054265853155e-15	5.82559594711919e-15	good	similar
OLE1_1	GFP	high	all	-0.0771854594468584	2.30736079049237e-33	-0.144283841533283	2.57900262526618e-104	2.57900262526618e-104	nul	inverted
OLE1_1	GFP	low	all	0.0789315378973798	1.58595508167657e-35	0.0412109674085368	7.75776521760786e-10	7.75776521760786e-10	nul	inverted
CYC1_1	mCH	high	all	0.1724509717555	6.96286238730412e-108	0.310799347904132	1.1035283790447e-122	6.96286238730412e-108	good	similar
CYC1_1	mCH	low	all	-0.252805802470226	6.92711533304748e-194	-0.43257415364893	8.82816183274874e-237	6.92711533304748e-194	good	similar
CYC1_1	GFP	high	all	0.239114874224275	2.33423072826611e-230	0.709095753859211	0	0	good	similar
CYC1_1	GFP	low	all	-0.284192948437221	1.54516315203369e-254	-0.704843955425361	0	0	good	similar
TPO1_1	mCH	high	all	0.0969678957783708	4.67162951819917e-41	0.115922166679817	2.10728679778184e-33	4.67162951819917e-41	good	similar
TPO1_1	mCH	low	all	-0.108070965949148	8.18330062599064e-47	-0.208637669312496	1.33503733246015e-108	8.18330062599064e-47	good	similar
TPO1_1	GFP	high	all	0.163104075587368	3.14302153837319e-122	0.577757709322549	0	0	good	similar
TPO1_1	GFP	low	all	-0.119058139477653	3.13527349876653e-57	-0.413929729237832	0	0	good	similar
CTS1_1	mCH	high	all	0.138203000534438	5.8364745502516e-49	-0.0818943089653201	8.98332487273104e-08	5.8364745502516e-49	good	inverted
